iter	MultiClass
285	0.5270005685
286	0.5257617609
287	0.5251850218
288	0.5238020339
289	0.5229502474
290	0.5210855602
291	0.519138936
292	0.518012239
293	0.5168337033
294	0.5154600267
295	0.5144136599
296	0.5136820776
297	0.5129765278
298	0.5119376985
299	0.5104669991
300	0.5095873688
301	0.5085588
302	0.5076802094
303	0.5052943075
304	0.5033079063
305	0.5020757724
306	0.4999278311
307	0.4991833802
308	0.4985257354
309	0.4971701668
310	0.4958810959
311	0.4945475078
312	0.4931252804
313	0.4924896307
314	0.4916549411
315	0.4900875074
316	0.4888579247
317	0.4880688752
318	0.4874503345
319	0.4861033848
320	0.4853481909
321	0.484873247
322	0.4831417872
323	0.4813463097
324	0.4805993358
325	0.4789548458
326	0.4781973989
327	0.4770336506
328	0.4760891972
329	0.4752168084
330	0.4743377715
331	0.4734421228
332	0.472213854
333	0.4714988651
334	0.4707788048
335	0.4692715566
336	0.4681232708
337	0.467404509
338	0.4665680091
339	0.4654258075
340	0.4644025854
341	0.4639205334
342	0.4628718197
343	0.4622017501
344	0.461051339
345	0.4607890726
346	0.4598192432
347	0.458879348
348	0.4577773834
349	0.4568438476
350	0.4559393072
351	0.4550454047
352	0.4543385905
353	0.453487195
354	0.4525316023
355	0.4517105034
356	0.4509210198
357	0.4498854761
358	0.4487589347
359	0.4483259411
360	0.4476654531
361	0.4469569204
362	0.4460115376
363	0.4454902623
364	0.4442449026
365	0.4433318943
366	0.4424181765
367	0.4408996247
368	0.4396907692
369	0.4391132864
370	0.4382664936
371	0.4375471352
372	0.4367275893
373	0.4357408298
374	0.4342973225
375	0.4336653871
376	0.4332501273
377	0.4325824685
378	0.4308454292
379	0.430274532
380	0.4294097695
381	0.4280770725
382	0.4266392663
383	0.4255082869
384	0.4246678886
385	0.4241139697
386	0.4234078534
387	0.4230044517
388	0.4215090103
389	0.4210600861
390	0.4202906208
391	0.4191093776
392	0.4187981309
393	0.4180702573
394	0.4174723078
395	0.4167257364
396	0.4156069528
397	0.4137318492
398	0.4129928913
399	0.4120084697
400	0.4117184248
401	0.4109934074
402	0.4105463152
403	0.4100288972
404	0.40968097
405	0.4091465018
406	0.4082654523
407	0.4078477878
408	0.4069126198
409	0.4066172464
410	0.405832591
411	0.4049309041
412	0.4044206236
413	0.4034328487
414	0.4025593119
415	0.4021739871
416	0.4012231705
417	0.4007145914
418	0.3993130754
419	0.3981696104
420	0.3968835013
421	0.396096777
422	0.3954010129
423	0.3946263362
424	0.3937603383
425	0.3923766716
426	0.3918199161
427	0.3910049376
428	0.3900349176
429	0.3894053262
430	0.3890205788
431	0.387494469
432	0.3868380505
433	0.3863849616
434	0.3856735224
435	0.3848229502
436	0.3840866632
437	0.3835340938
438	0.3825163327
439	0.3819112428
440	0.3810975348
441	0.3803475246
442	0.379687915
443	0.3787680801
444	0.3783234932
445	0.3771678488
446	0.3766130167
447	0.3760783306
448	0.3755369886
449	0.3749475296
450	0.3743427767
451	0.3735390797
452	0.3728650925
453	0.3707592081
454	0.369844715
455	0.3693048797
456	0.3687327241
457	0.3684530919
458	0.3678880262
459	0.3672884639
460	0.3668627353
461	0.3665364373
462	0.3661476575
463	0.3654158054
464	0.364840193
465	0.3638278353
466	0.3634777776
467	0.3630641743
468	0.362637123
469	0.3616734507
470	0.361136696
471	0.359876813
472	0.3591412492
473	0.3581680886
474	0.357726612
475	0.3567206257
476	0.3560028613
477	0.3552153491
478	0.3546222219
479	0.3539822722
480	0.3533791132
481	0.3523617735
482	0.3516768394
483	0.3507177241
484	0.3498056097
485	0.3490223124
486	0.3483472652
487	0.3479209054
488	0.3474453843
489	0.3468364776
490	0.3463125701
491	0.3454025339
492	0.3449129696
493	0.344048023
494	0.343755243
495	0.3435028278
496	0.3426904238
497	0.3411900254
498	0.340498683
499	0.339984557
