COUNTRY,INDEX_TYPE,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Netherlands,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.62817083,16.00811083,16.5273575,17.4898725,18.17338333,19.22055917,19.88469333,20.62456167,22.15527333,22.968135,24.68561833,26.61178583,28.74663917,31.50385083,34.72274917,37.78899417,40.20722333,41.86054917,43.61839917,46.45946417,49.59033333,52.52166583,53.96120083,55.74280583,57.00180417,57.04931333,56.6549825,57.07306833,57.69068917,59.10647167,60.9731725,62.91430333,64.540125,66.3482325,67.624255,68.9425,70.39666667,71.77583333,73.32416667,75.055,78.17416667,80.74416667,82.43333333,83.475,84.88416667,85.81916667,87.20416667,89.3725,90.43583333,91.58916667,93.73333333,96.035,98.4425,99.40333333,100,100.3166667,101.7025,103.435,106.1591667,107.51,110.3866667,121.4266667,126.0875,130.3083333,
Norway,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.22089225,7.495632833,7.710646917,8.098866417,8.28401775,8.313881,8.4930595,8.9410055,9.161992333,9.699527833,10.10566883,10.43416,10.91196833,11.288245,11.62271,12.85904167,13.65937083,14.6508275,15.73784167,17.21905083,19.23182417,20.9937425,22.90497917,24.77440833,25.89166667,28.70833333,32.625,36.325,39.4,41.85,44.24166667,47.41666667,51.55,54.99166667,57.49166667,59.86666667,61.925,63.36666667,64.81666667,65.70833333,67.325,68.175,69.925,71.5,73.19166667,75.45,77.71666667,78.71666667,80.675,81.04166667,82.28333333,84.2,84.8,87.98333333,89.91666667,92.09166667,93.275,93.925,95.91666667,97.875,100,103.55,105.4916667,108.4083333,110.7583333,112.1833333,116.0916667,122.7833333,129.5583333,133.6333333,
Sweden,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.22173667,24.36931083,25.42217583,26.53910583,26.7524525,27.86048,28.46170167,29.8182425,30.674545,31.713695,33.30343,35.43645083,36.95643333,37.67454333,38.68874,41.40328083,44.4652775,47.13648,50.3031075,55.28901333,60.69620917,66.9171,74.57362417,82.02745583,87.94146,99.995,112.0983333,121.7266667,132.5275,143.1883333,153.745,160.2575,166.97,176.6958333,188.0808333,207.5783333,227.1833333,232.5775,243.5741667,248.8308333,254.94,256.2991667,257.9866667,257.2975,258.4866667,260.8108333,267.0858333,272.8508333,278.105,279.1441667,280.4091667,284.2233333,290.5108333,300.4958333,299.01,302.4725,311.4291667,314.1958333,314.0566667,313.4925,313.3458333,316.43,322.1083333,328.4008333,334.26,335.9225,343.1891667,371.9116667,403.705,415.1533333,
Switzerland,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.99658,23.34411833,23.8026875,24.24103583,24.08358417,24.4300975,24.88093,25.95478917,26.84768917,27.6747475,28.61969583,29.98656667,31.1875875,31.93478667,32.729655,33.913155,36.14234167,38.54942417,41.92429917,46.01921917,49.10094,49.943255,50.59051917,51.11099083,52.97533583,55.10626917,58.68283667,62.00141083,63.830325,65.70148333,67.95859167,68.46849167,69.45465833,70.755175,72.98769167,76.93191667,81.43981667,84.72756667,87.517325,88.263075,89.85165833,90.580925,91.05215,91.06848333,91.8029,93.233675,94.155775,94.760925,95.36575833,96.13145833,97.258075,98.28853333,99.00835,101.4103333,100.923075,101.6176667,101.8527583,101.147375,100.9275583,100.9142333,99.75986667,99.32629167,99.85648333,100.791475,101.1572333,100.4229583,101.0072333,103.8708167,106.088875,107.2159,
Canada,Consumer price index (CPI),,,,,,,,,,,,,,,6.008333333,6.133333333,6.683333333,7.883333333,8.916666667,9.766666667,11.35833333,9.983333333,9.2,9.2,9.025,9.133333333,9.2,9.066666667,9.133333333,9.225,9.133333333,8.233333333,7.458333333,7.133333333,7.216666667,7.25,7.4,7.666666667,7.708333333,7.65,7.975,8.45,8.841666667,9.033333333,9.091666667,9.15,9.433333333,10.28333333,11.75,12.15833333,12.48333333,13.8,14.15833333,14.01666667,14.10833333,14.13333333,14.325,14.8,15.15,15.33333333,15.54166667,15.7,15.86666667,16.125,16.43333333,16.81666667,17.45833333,18.08333333,18.81666667,19.675,20.33333333,20.88333333,21.925,23.56666667,26.15833333,28.95,31.13333333,33.61666667,36.63333333,39.98333333,44.03333333,49.525,54.85833333,58.075,60.575,62.975,65.61666667,68.475,71.23333333,74.78333333,78.35833333,82.76666667,84,85.56666667,85.70833333,87.55,88.925,90.36666667,91.26666667,92.85,95.375,97.78333333,99.99166667,102.75,104.6583333,106.975,109.1166667,111.45,114.0916667,114.4333333,116.4666667,119.8583333,121.675,122.8166667,125.1583333,126.5666667,128.375,130.425,133.3833333,135.9833333,136.9583333,141.6083333,151.2416667,157.1083333,160.85,
Japan,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.68001006,16.74599348,17.26485156,17.18237556,17.36832437,17.98915713,18.95489816,20.25054891,21.6087341,22.42995016,23.92288561,25.12879809,26.13139896,27.52666749,28.97176824,30.97782383,32.95896373,34.55533679,38.56673575,47.52279793,53.09782383,58.07523316,62.81523316,65.45948187,67.8826943,73.16300518,76.75689119,78.86082902,80.35896373,82.17637306,83.84642487,84.34580311,84.45222798,85.02528497,86.9573057,89.63430052,92.54870466,94.17782383,95.34849741,96.01160622,95.88880829,96.01979275,97.69803109,98.34476684,98.00911917,97.34601036,96.62559585,95.73326425,95.48766839,95.47948187,95.20932642,95.44673575,95.50404145,96.82207254,95.51222798,94.81666667,94.55833333,94.51666667,94.83333333,97.45,98.225,98.1,98.575,99.55,100.0166667,99.99166667,99.75833333,102.25,105.5916667,108.4833333,
Finland,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42278625,6.054611,6.736436917,7.12841925,7.23189625,7.479091667,7.60556325,7.938989833,8.335652083,9.192212083,9.646361417,10.02002808,10.55888333,11.52942083,11.783715,12.10663833,12.89063583,13.74947417,15.2281575,17.80725917,20.97898083,23.98793167,26.81691167,28.90845667,31.06704,34.669145,38.58875417,42.28745833,45.82535083,49.06412917,51.61331583,53.12743333,55.31258,58.12573833,61.95791583,65.76805833,68.60280167,70.60553917,72.15226167,72.93768,73.51479167,73.9773425,74.85956583,75.90720583,76.78942333,79.125435,81.1656375,82.44092833,83.16429833,83.31991583,83.8397275,85.15321417,87.29112667,90.84034333,90.8403425,91.916015,95.05660833,97.7261175,99.17078917,100.2033517,99.995,100.3516667,101.1083333,102.2041667,103.2508333,103.5508333,105.8233333,113.3616667,120.4475,122.3333333,
Greece,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995442983,1.0315885,1.054977,1.06967275,1.09758725,1.113807917,1.13723775,1.131831,1.167876,1.175085333,1.212933333,1.2724085,1.295838083,1.297640083,1.33188375,1.3697315,1.414788417,1.47606575,1.703152917,2.15552475,2.449296083,2.76829925,3.11073225,3.50182675,4.170471667,5.199572833,6.473783667,7.832701333,9.413299833,11.150695,13.3044175,16.36648917,19.05008,21.62733833,24.58067333,29.603365,35.36295,40.97755167,46.882935,51.98102083,56.6252725,61.26546,64.6571175,67.73882167,69.52484583,71.7157,74.135365,76.82600333,79.53846083,81.84416,84.745595,87.45401917,89.98581583,93.72274417,94.8568575,99.32745083,102.6349092,104.176,103.2162583,101.8617917,100.093585,99.26715833,100.3801958,101.0081958,101.2637542,99.99999917,101.2238242,110.987125,114.8326083,117.9807333,
Iceland,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042703253,0.046999618,0.048995908,0.05186015,0.052380923,0.053422464,0.055939525,0.062101987,0.070130546,0.083627208,0.089746268,0.099337132,0.102635342,0.11826855,0.144007683,0.163265075,0.174255875,0.191352683,0.232215917,0.330945258,0.494304267,0.652655183,0.850518967,1.222621,1.76600825,2.799625083,4.249641667,6.38479875,11.74484025,15.368405,20.28546917,24.77431917,29.30746667,36.84696167,44.49572583,51.39733417,54.896865,57.064035,59.37105,60.29287833,61.28845333,62.67382917,63.81162917,64.87041833,66.96692167,70.40665833,74.916265,78.80968,80.42974167,82.96986833,86.27791667,92.04738917,96.69721583,108.9723417,122.0524333,128.639275,133.7861667,140.7241833,146.1734167,149.1621,151.598,154.1705083,156.88455,161.0936333,165.94895,170.67505,178.2602583,193.0714667,209.938775,222.23455,
Ireland,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.047815,15.9403725,17.1695525,19.452325,22.98379,27.666395,32.41038667,35.7965025,38.8932975,40.99178,42.5605525,43.905215,44.8424025,46.6760325,48.22443,49.772825,51.30085,52.0546725,53.25672,54.60138,55.56004083,56.41666667,57.775,58.71666667,61.99166667,65,68.00833333,70.38333333,71.91666667,73.68333333,76.58333333,80.325,83.56666667,79.85,79.11666667,81.13333333,82.50833333,82.93333333,83.09166667,82.81666667,82.83333333,83.13333333,83.525,84.30833333,84.03333333,86,92.73333333,98.575,100.6583333,
Malta,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.48583333,82.71833333,83.75166667,87.31833333,89.13833333,90.48934523,93.17053121,95.38409587,96.50989944,96.8093759,97.87480981,98.50385392,99.84779567,101.003857,102.662401,103.3179466,104.865538,111.3187076,116.9892465,118.9204987,
Portugal,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.002754558,1.034837417,1.049555667,1.06634125,1.07750425,1.110331417,1.127530417,1.157546,1.18094675,1.221629167,1.263469083,1.327138667,1.400482667,1.485651083,1.616132417,1.719244,1.924640333,2.129871583,2.406214083,3.009759417,3.469400417,4.20289775,5.5065,6.665,8.124583333,9.41375,11.20616667,13.63558333,16.9085,21.70791667,25.93258333,29.13041667,31.93708333,35.16325,39.62416667,45.02516667,50.36041667,55.1745,58.91741667,62.111,64.73383333,66.7205,68.27966667,70.03633333,71.67525,73.72016667,76.94166667,79.71183333,82.27775,84.22391667,86.14183333,88.81883333,90.99841667,93.35391667,92.57391667,93.87233333,97.3015,100,100.2744167,99.9955,100.4834167,101.09375,102.4773333,103.4956667,103.8456667,103.83275,105.1469167,113.38275,118.271,121.1285833,
Spain,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.736994833,1.838654917,2.03672325,2.30921575,2.478014083,2.507199417,2.527489,2.671719583,2.905326667,3.108096583,3.51880475,3.738391083,3.97733525,4.174387,4.26456825,4.508976833,4.880376167,5.284094917,5.887364583,6.810525333,7.965133167,9.368978333,11.66794417,13.975125,16.1636625,18.67903583,21.39671333,24.48105,27.46139083,30.55911167,33.25273083,36.17728833,38.07587917,39.9177125,42.62869833,45.4941225,48.19384083,51.0491,53.38157,55.90033333,58.513005,60.5953925,61.7897725,62.92320083,64.37694583,66.58733833,68.97771333,71.09233333,73.25275,75.47908333,78.02183333,80.76475,83.0155,86.39866667,86.15,87.70058333,90.50358333,92.71741667,94.02341667,93.88133333,93.41158333,93.22233333,95.04583333,96.63783333,97.31383333,96.99975,100.0000833,108.3906667,112.2194167,115.3325833,
